game_id,rated,treat_type,chat_type,gametime_seconds,status,maia_color,maia_name,maia_avg_move_time,opp_avg_move_time,opp_avg_move_time_3+,opp_avg_move_time_3only,num_moves,opp_name_hashed,opp_name,winner,maia_rating,maia_acc,maia_blunders,maia_mistakes,maia_acpl,maia_inacc,opp_rating,opp_acc,opp_blunders,opp_mistakes,opp_acpl,opp_inacc,respond,game_chats
ixyv4rsW,TRUE,1,Placebo,460.171,mate,white,chess4gerry,6.44,16.8,6.81,2.88,40,-4.87919E+18,Nyazbahir,maia,1436,78,2,0,55,2,1463,68,3,1,103,2,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""bananas are berries"",""user"":""chess4gerry""},{""text"":""i like swimming"",""user"":""chess4gerry""},{""text"":""i have to go to the grocery store after this"",""user"":""chess4gerry""}]
"
j6KIgdaJ,TRUE,0,Control,399.289,resign,white,chess4gerry,6.14,10.12,10.64,1.52,49,-4.18521E+18,faratabiniz,maia,1548,92,0,1,19,1,1516,78,2,1,61,0,FALSE,"[]
"
JEOttxpe,TRUE,1,Chatty,750.641,mate,black,chess4gerry,6.03,13.32,13.98,7.68,76,5.25586E+18,jmarkoz,opp,1482,81,3,2,57,4,1580,88,2,1,31,1,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""},{""text"":""things arent looking good"",""user"":""chess4gerry""}]
"
JMBebdn1,TRUE,1,Chatty,303.137,resign,black,chess4gerry,5.13,12.05,12.89,6.24,42,6.75628E+18,nilobrow04,maia,1481,75,3,1,68,4,1482,66,5,3,115,3,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""}]
"
jmEfRe4i,TRUE,1,Chatty,115.827,mate,white,chess4gerry,7.91,5.2,5.25,9.84,17,1.0074E+18,rubin8232,opp,1441,43,1,0,137,1,1444,83,0,1,28,0,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""}]
"
K7Mw9ivk,TRUE,1,Chatty,512.99,mate,white,chess4gerry,5.5,5.27,5.38,7.6,89,8.7192E+18,mohdabash64,opp,1467,80,4,2,53,4,1415,86,1,4,38,6,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""},{""text"":""things arent looking good"",""user"":""chess4gerry""}]
"
Kk1xeVmV,TRUE,1,Chatty,514.885,mate,white,chess4gerry,5.87,4.13,4.12,8.32,101,1.66352E+17,Sofiane_Lemanaa,opp,1482,79,5,0,42,2,1391,85,3,1,26,1,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""i'm going to take your queen in 4 moves :)"",""user"":""chess4gerry""},{""text"":""uh oh..."",""user"":""chess4gerry""},{""text"":""nice coordination"",""user"":""chess4gerry""},{""text"":""things arent looking good"",""user"":""chess4gerry""}]
"
KZnFgMr7,TRUE,0,Control,157.793,resign,white,chess4gerry,5.53,5.5,6.05,5.44,29,-6.73603E+17,Gr456,maia,1480,72,1,0,28,1,1506,62,2,0,97,3,FALSE,"[]
"
l4jIdfmd,TRUE,1,Placebo,368.28,mate,black,chess4gerry,5.46,4.5,4.64,1.36,72,1.40105E+18,anatoliyefimov,opp,1506,83,3,2,59,4,1496,90,2,0,35,4,FALSE,"[{""text"":""hello! good luck!"",""user"":""chess4gerry""},{""text"":""bananas are berries"",""user"":""chess4gerry""},{""text"":""i like swimming"",""user"":""chess4gerry""},{""text"":""i have to go to the grocery store after this"",""user"":""chess4gerry""},{""text"":""my cat's name is alex"",""user"":""chess4gerry""}]
"
LcXkLW3B,TRUE,0,Control,350.135,mate,black,chess4gerry,6.35,6.9,7.09,6.24,52,-4.54628E+18,heorca55,opp,1502,71,4,1,102,2,1473,73,2,0,73,1,FALSE,"[]
"
